popularity,title,url,year
width:6%;,Little America Lyrics,http://www.metrolyrics.com/little-america-lyrics-rem.html,2006
width:27.452156242272%;,Living Well Is The Best Revenge Lyrics,http://www.metrolyrics.com/living-well-is-the-best-revenge-lyrics-rem.html,2008
width:6%;,Loosing My Religion Lyrics,http://www.metrolyrics.com/loosing-my-religion-lyrics-rem.html,2006
width:95.612899266253%;,Losing My Religion Lyrics,http://www.metrolyrics.com/losing-my-religion-lyrics-rem.html,2003
width:13.726078121136%;,Lotus Lyrics,http://www.metrolyrics.com/lotus-lyrics-rem.html,2006
width:27.452156242272%;,Love Is All Around Lyrics,http://www.metrolyrics.com/love-is-all-around-lyrics-rem.html,2014
width:6%;,Low Lyrics,http://www.metrolyrics.com/low-lyrics-rem.html,2014
width:6%;,Low Desert Lyrics,http://www.metrolyrics.com/low-desert-lyrics-rem.html,2006
width:6%;,Lynne & Andy Lyrics,http://www.metrolyrics.com/lynne-andy-lyrics-rem.html,2008
width:6%;,Make It All Ok Lyrics,http://www.metrolyrics.com/make-it-all-ok-lyrics-rem.html,2007
width:6%;,Make It All Okay Lyrics,http://www.metrolyrics.com/make-it-all-okay-lyrics-rem.html,2004
width:78.244680896031%;,Man On The Moon Lyrics,http://www.metrolyrics.com/man-on-the-moon-lyrics-rem.html,2003
width:6%;,Man On The Moon (orchestral) Lyrics,http://www.metrolyrics.com/man-on-the-moon-orchestral-lyrics-rem.html,2008
width:6%;,Man-Sized Wreath Lyrics,http://www.metrolyrics.com/mansized-wreath-lyrics-rem.html,2008
width:6%;,Maps And Legends Lyrics,http://www.metrolyrics.com/maps-and-legends-lyrics-rem.html,2006
width:21.755319103969%;,Me In Honey Lyrics,http://www.metrolyrics.com/me-in-honey-lyrics-rem.html,2006
width:6%;,"Me, Marlon Brando, Marlon Brando and I Lyrics",http://www.metrolyrics.com/me-marlon-brando-marlon-brando-and-i-lyrics-rem.html,2011
width:6%;,Milk & Cookies Lyrics,http://www.metrolyrics.com/milk-cookies-lyrics-rem.html,2008
width:6%;,Mine Smell Like Honey Lyrics,http://www.metrolyrics.com/mine-smell-like-honey-lyrics-rem.html,2011
width:6%;,Miracle Lyrics,http://www.metrolyrics.com/miracle-lyrics-rem.html,2008
width:6%;,Monty Got A Raw Deal Lyrics,http://www.metrolyrics.com/monty-got-a-raw-deal-lyrics-rem.html,2006
width:6%;,Moon River Lyrics,http://www.metrolyrics.com/moon-river-lyrics-rem.html,2006
width:6%;,Moral Kiosk Lyrics,http://www.metrolyrics.com/moral-kiosk-lyrics-rem.html,2006
width:13.726078121136%;,Mr. Richards Lyrics,http://www.metrolyrics.com/mrrichards-lyrics-rem.html,2008
width:6%;,Mr. Richards Lyrics,http://www.metrolyrics.com/mr-richards-lyrics-rem.html,2008
width:6%;,Mystery To Me Lyrics,http://www.metrolyrics.com/mystery-to-me-lyrics-rem.html,2006
width:6%;,Narrator Lyrics,http://www.metrolyrics.com/narrator-lyrics-rem.html,2006
width:6%;,Near Wild Heaven Lyrics,http://www.metrolyrics.com/near-wild-heaven-lyrics-rem.html,2006
width:6%;,NEW ORLEANS INSTRUMENTAL NO. 1 Lyrics,http://www.metrolyrics.com/new-orleans-instrumental-no-1-lyrics-rem.html,2007
width:6%;,New Test Leper Lyrics,http://www.metrolyrics.com/new-test-leper-lyrics-rem.html,2011
width:69.830912397378%;,Nightswimming Lyrics,http://www.metrolyrics.com/nightswimming-lyrics-rem.html,2003
width:6%;,Oddfellows Local 151 Lyrics,http://www.metrolyrics.com/oddfellows-local-151-lyrics-rem.html,2008
width:6%;,Oh My Heart Lyrics,http://www.metrolyrics.com/oh-my-heart-lyrics-rem.html,2011
width:6%;,Old Man Kensey Lyrics,http://www.metrolyrics.com/old-man-kensey-lyrics-rem.html,2006
width:6%;,On the Fly Lyrics,http://www.metrolyrics.com/on-the-fly-lyrics-rem.html,2016
width:57.236716329075%;,Orange Crush Lyrics,http://www.metrolyrics.com/orange-crush-lyrics-rem.html,2003
width:6%;,Out Of Time Lyrics,http://www.metrolyrics.com/out-of-time-lyrics-rem.html,2006
width:6%;,Pale Blue Eyes Lyrics,http://www.metrolyrics.com/pale-blue-eyes-lyrics-rem.html,2006
width:6%;,Parakeet Lyrics,http://www.metrolyrics.com/parakeet-lyrics-rem.html,2006
width:6%;,Passenger Lyrics,http://www.metrolyrics.com/passenger-lyrics-rem.html,2006
width:6%;,Perfect Circle Lyrics,http://www.metrolyrics.com/perfect-circle-lyrics-rem.html,2014
width:6%;,Permanent Vacation Lyrics,http://www.metrolyrics.com/permanent-vacation-lyrics-rem.html,2006
width:6%;,Photograph Lyrics,http://www.metrolyrics.com/photograph-lyrics-rem.html,2006
